yy1,myEd,sumNormW,sumLWall
2669,2,46.09423323367242,0.614921579531923
4083,2,46.151954172802625,0.6179203177612227
1320,3,46.15381253601155,0.6180169510240447
2649,2,46.19351612908054,0.6200832176139086
1712,2,46.27506877943745,0.6243420787806905
945,2,46.329148397690275,0.6272006814923273
2936,3,46.378608360406524,0.6298169619057375
3707,2,46.43105430520958,0.6325935506571987
54,1,46.4693531730249,0.63464838468788
1653,2,46.52122062844499,0.6374410074675082
2493,3,46.55599965184684,0.6393135630463113
1526,3,46.613669998068715,0.6424404121924274
1938,2,46.71058308505106,0.6477132861376865
913,3,46.75552840089011,0.6501746139310695
3369,3,46.81012346918676,0.653164633997129
2135,3,46.85629439742811,0.6556941595894273
4072,2,46.91627530831972,0.6589802804219266
1449,2,46.96286383250063,0.6615368756113122
2119,2,47.031251195679395,0.6652958576307308
1322,3,47.037185476933296,0.6656241769364513
4108,3,47.08031554184392,0.6680123255441602
4304,3,47.085764440127406,0.6683149180424344
3434,2,47.144426973632356,0.6715847761567358
2099,3,47.19421027769081,0.6743862401119101
3112,2,47.253357629724576,0.6777272592911225
2537,2,47.265161389199676,0.678395391247707
384,2,47.28790401912577,0.6796843363276708
494,2,47.339830257561225,0.682627270797866
776,3,47.34602049350345,0.6829781041969704
854,3,47.352720601648386,0.683357834749536
1956,2,47.404437836101756,0.6862889238590463
2031,2,47.47574841813047,0.6903304715672024
3155,2,47.51260531601116,0.6924193468353849
4052,3,47.54920626512795,0.6944937161338957
3422,3,47.633965245199356,0.6993119431302741
3734,3,47.66966150454384,0.7013433881602539
2652,2,47.68888391095448,0.7024492515560531
103,2,47.75216219682041,0.7061019418639268
503,2,47.79589744518797,0.7086514698421917
3167,2,47.83392304574152,0.7108702087809695
467,3,47.86523270393824,0.7127010254687354
2820,1,47.92248457708146,0.7161028797093992
4319,2,47.961575974971964,0.7184291717169986
4448,2,48.014764938260164,0.721604923293481
1230,2,48.074877671496495,0.7252065100731447
3870,2,48.14485327359004,0.7294116096623102
1078,2,48.18653601722283,0.7319417952038941
3909,2,48.23084286097781,0.7346342557385546
3683,2,48.27970694615631,0.7376136535696947
1759,3,48.326729017676556,0.7404961991704511
1536,2,48.36596321692036,0.7429051094679753
1665,2,48.414933359717544,0.7459117894443478
1987,3,48.49425810411241,0.7507821881603721
4386,1,48.53562122487352,0.7533218104659017
2685,3,48.59984907421471,0.7572941765172662
999,2,48.61322666765782,0.758127571631619
2835,3,48.67966258250356,0.7622693736323868
1081,2,48.68559686375746,0.7626400060896054
492,1,48.742434391655394,0.7662028475832703
148,2,48.788159765915104,0.7690782593773888
4020,3,48.845103289267605,0.7726745367949064
718,2,48.903346241776404,0.7763605820548602
3232,2,48.937165836005306,0.7785009363746753
3830,2,48.99432257022098,0.7821246650287846
567,2,49.06847822149839,0.7868458023017315
2704,3,49.07273099610045,0.7871174361544753
1940,2,49.07478436100059,0.7872495606224486
451,3,49.12926585450189,0.7907644542497616
4518,1,49.16766072278472,0.7932441383882253
1497,3,49.21316098688545,0.7961882004933319
3088,2,49.25532787761322,0.7989206000221585
2645,2,49.26148667009665,0.7993205075792393
1512,3,49.320945189333116,0.8031984849904028
3920,3,49.33477801582296,0.8041006835205551
2403,2,49.39289482088366,0.8079115946293141
1179,2,49.45936700048698,0.8122948530239578
361,2,49.506926170981934,0.8154331032488126
1724,2,49.57691267335187,0.8200562853198534
140,2,49.63147745983621,0.8236641727479099
1142,3,49.715323774712004,0.8292081890415698
1411,3,49.7555763443147,0.831869735969059
1884,3,49.80544293007062,0.8351669728762452
2920,2,49.85344460631425,0.8383408997877845
3748,3,49.89172388502366,0.8408719704160985
4396,3,49.90463202384232,0.8417254716348158
1568,3,49.943392768902925,0.8443030225564387
1047,2,49.99598272595173,0.8478300078036611
2530,2,50.05799351395156,0.8519888082042981
1425,3,50.11138905818825,0.8555874976619477
4406,3,50.15006723230927,0.8582326275857686
4480,3,50.206527910594055,0.86209920380916
3926,3,50.244643310033474,0.8647641377405372
4371,2,50.26842380215003,0.8664274523979167
2603,2,50.33460055309532,0.8710650821957645
3650,3,50.38510351555956,0.8746138425381701
856,2,50.441587180201395,0.8786153774241421
2545,3,50.48584003656133,0.8817643651710031
4283,2,50.53796261599036,0.8855014882431302
